Image; Model; Series; Yen Price; Release Date; Notes;Type
HG Gundam -BEYOND GLOBAL-.jpg;RX-78-2 Gundam [BEYOND GLOBAL];Mobile Suit Gundam;¥2,000;2020 June;Redesign version of HGUC-191 with better articulation. Released to coincide with the 40th anniversary of Gunpla., ;HGUC
HGUC Messer Type-F01.jpg;Me02R-F01 Messer Type-F01;Mobile Suit Gundam Hathaway;¥2,500;2020 July;Originally planned to be released in June 2020, but was delayed due to COVID-19 outbreak.;HGUC
HGUC MS-06S Zaku II.jpg;MS-06S Char's Zaku II;Mobile Suit Gundam;¥1,600;2020 July;Newly molded version of HGUC-032 with better articulation and improved proportions. Includes optional side skirt armor parts molded in softer plastic to improve leg articulation. Compatible with most accessories for Zeon kits from HGGO line. Uses E plate runner of HGUC-151. Released to coincide with the 40th anniversary of Gunpla. ;HGUC
HGUC Baund Doc (box art).jpg;NRX-055 Baund Doc;Mobile Suit Zeta Gundam;¥5,000;2020 October;Includes clear Action Base 5 and display adapter. Fully transformable kit. Originally planned to be released in September 2020, but was delayed due to unspecified reason.;HGUC
HGAC Gundam Heavyarms.jpg;XXXG-01H Gundam Heavyarms;Mobile Suit Gundam Wing;¥1,500;2020 October;Uses the B1 and B2 plate runners of HGAC-228., ;HGUC
HGCE Dagger L.jpg;GAT-02L2 Dagger L;Mobile Suit Gundam SEED Destiny;¥1,200;2021 April;Uses the C plate runner of HGBF-001., ;HGUC
HGUC Xi Gundam.jpg;RX-105 Xi Gundam;Mobile Suit Gundam Hathaway;¥6,000;2021 April;N/A;HGUC
HGAC Gundam Deathscythe.jpg;XXXG-01D Gundam Deathscythe;Mobile Suit Gundam Wing;¥1,500;2021 May;Uses the B1 plate runners of HGAC-228., ;HGUC
HGUC Nightingale.jpg;MSN-04II Nightingale;Mobile Suit Gundam: Char's Counterattack - Beltorchika's Children;¥7,000;2021 July;N/A;HGUC
N/A;XXXG-01S Shenlong Gundam;Mobile Suit Gundam Wing;¥1,500;2022 September;N/A;HGUC
N/A;MS-15C Gyan Cannon Conversion Parts;Mobile Suit Gundam Gihren's Greed;¥3,800;2000;Resin-cast upgrade kit for HGUC-002., ;HGUC
N/A;High Detail Action Parts for YMS-15 Gyan;Mobile Suit Gundam;¥4,800;2001 February;Resin-cast conversion kit for HGUC-002., ;HGUC
N/A;RMS-106CS Hizack Custom Conversion Parts;Zeta Gundam Mobile Suit Variations;¥7,800;2001;Resin-cast conversion kit for HGUC-012., ;HGUC
N/A;RGC-80 GM Cannon Conversion Parts;Mobile Suit Variations;¥4,800;2001 July;Resin-cast conversion kit for HGUC-020., ;HGUC
N/A;RMS-099B Schuzrum Dias Conversion Parts;Mobile Suit Gundam ZZ;¥12,800;2001 August;Resin-cast conversion kit for HGUC-010/033., ;HGUC
N/A;RGM-79SC GM Sniper Custom Conversion Parts;Mobile Suit Variations;¥4,800;2001 October;Resin-cast conversion kit for HGUC-020., ;HGUC
N/A;RGM-86R GM III Conversion Parts;Mobile Suit Gundam ZZ;¥7,800;2002 January;Resin-cast conversion kit for HGUC-020., ;HGUC
N/A;MSR-00100 Hyaku Shiki Kai Conversion Parts;Zeta Gundam Mobile Suit Variations;¥4,800;2002 February;Resin-cast conversion kit for HGUC-005., ;HGUC
N/A;RX-77-3 Guncannon Heavy Custom Conversion Parts;Mobile Suit Variations;¥6,800;2002 February;Resin-cast conversion kit for HGUC-001., ;HGUC
N/A;RMS-119 EWAC Zack  Conversion Parts;Mobile Suit Gundam ZZ;¥7,800;2002 March;Resin-cast conversion kit for HGUC-012., ;HGUC
N/A;RMS-179 GM II Conversion Parts;Mobile Suit Zeta Gundam;¥4,800;2002 April;Resin-cast conversion kit for HGUC-020., ;HGUC
N/A;RX-78-2 Gundam Anime Version Parts;Mobile Suit Gundam;¥4,800;2002 April;Resin-cast conversion kit for HGUC-021., ;HGUC
N/A;Mega Bazooka Launcher for MSN-00100 Hyaku Shiki;Mobile Suit Zeta Gundam;¥9,800;2002 June;Resin-cast accessory kit for HGUC-005., ;HGUC
N/A;RX-78GP03S “Gundam GP03S” Core Fighter Type Conversion Parts;Mobile Suit Gundam 0083: Stardust Memory;¥5,800;2002 August;Resin-cast conversion kit for HGUC-025., ;HGUC
N/A;MS-15F Gyan Marine Conversion Parts;Mobile Suit Gundam Gihren's Greed;¥7,800;2003 January;Resin-cast conversion kit for HGUC-002., ;HGUC
N/A;Another Spirits 01: PF-78-1 Perfect Gundam Conversion Parts;Plamo-Kyoshiro;¥9,800;2003 June;Resin-cast conversion kit for HGUC-021., ;HGUC
N/A;FXA-00 Flying Armor for RX-178 Gundam Mk-II;Mobile Suit Zeta Gundam;¥7,800;2003 July;Resin-cast accessory kit for HGUC-030., ;HGUC
N/A;RX-78-1 Prototype Gundam Conversion Parts;Mobile Suit Variations;¥2,800;2003 July;Resin-cast conversion kit for HGUC-021., ;HGUC
N/A;Another Spirits 02: Musha Gundam Conversion Kit;Plamo-Kyoshiro;¥13,800;2003 September;Resin-cast conversion kit for HGUC-030., ;HGUC
N/A;Another Spirits 03: Full Armor Gundam Conversion Kit;Plamo-Kyoshiro;¥13,800;2004 March;Resin-cast kit to convert HGUC-021 into PF-78-2 Perfect Gundam II or FA-78-2 Heavy Gundam., ;HGUC
N/A;Mega Launcher for RMS-106 Hizack;Mobile Suit Zeta Gundam;¥9,800;2004 June;Resin-cast accessory kit for HGUC-012., ;HGUC
N/A;Another Spirits 04: PF-78-3 Perfect Gundam III Conversion Kit;Plamo-Kyoshiro;¥12,800;2004 July;Resin-cast conversion kit for HGUC-021., ;HGUC
N/A;c.o.v.e.r. Kit-1: MSZ-006 Zeta Gundam;Mobile Suit Zeta Gundam;¥2,420;2005;Resin-cast upgrade kit for HGUC-041. Includes new head, shoulder, and vent parts., ;HGUC
N/A;c.o.v.e.r. Kit-4:EMS-10 Zudah;Mobile Suit Gundam MS IGLOO 603;¥7,480;2006;Resin-cast conversion kit for HGUC-065. Includes new head, torso, feet, and shield. Designed by Yuta Yagyu., ;HGUC
N/A;c.o.v.e.r. Kit-6: MSZ-006 Zeta Gundam Upgrade Set 2;Mobile Suit Zeta Gundam;¥2,420;2007;Resin-cast upgrade kit for HGUC-041. Includes new head and chest parts. Designed by Hiroyuki Komatsubara., ;HGUC
N/A;c.o.v.e.r. Kit-8: RX-178 Gundam Mk-II;Mobile Suit Zeta Gundam;¥4,950;2007;Resin-cast upgrade kit for HGUC-030/035/053. Includes new head, arm, leg, and foot parts. Designed by Yuta Yagyu., ;HGUC
N/A;c.o.v.e.r. Kit-12: MSN-00100 Hyaku Shiki;Mobile Suit Zeta Gundam;¥5,280;2008;Resin-cast upgrade kit for HGUC-005. Includes new head, leg, and foot parts. Designed by NAOKI., ;HGUC
N/A;c.o.v.e.r. Kit-13: MS-14 Gelgoog (Herbert von Kuspen Custom) Backpack;Mobile Suit Gundam MS IGLOO: Apocalypse 0079;¥5,280;2008;Resin-cast add-on kit for HGUC-076. Designed by Yuta Yagyu., ;HGUC
N/A;c.o.v.e.r. Kit-15: RX-93 ν Gundam;Mobile Suit Gundam: Char's Counterattack;¥8,500;2008;Resin-cast conversion kit to restyle HGUC-086 into the original RX-93 ν Gundam Double Fin Funnel Type design (second set of Fin Funnels not included). Includes new head, shoulders, beam rifle, and shield. Designed by NAOKI. ;HGUC
N/A;c.o.v.e.r. Kit-16: RX-78NT-1 Gundam NT1;Mobile Suit Gundam 0080: War in the Pocket;¥7,480;2008;Resin-cast upgrade kit of HGUC-047. Includes new head, waist, side skirt, and leg parts. Designed by Yuta Yagyu., ;HGUC
N/A;c.o.v.e.r. Kit-20: MS-09R Rick Dom [Stutzer];Advance of Zeta: The Flag of Titans;¥26,400;2009;Resin-cast conversion kit for HGUC-027. Designed by Yuta Yagyu.Special Editions =, ;HGUC
N/A;AMX-004 Qubeley (Extra Finish Ver.);Mobile Suit Zeta Gundam;¥2,500;2000 September;Limited edition metallic color variant of HGUC-004., ;HGUC
N/A;MS-07B Gouf (Extra Finish Ver.);Mobile Suit Gundam;¥1,300;2000 September;Limited edition metallic color variant of HGUC-009., ;HGUC
N/A;"AMX-004 ""Qubeley Mk-II"" (Extra Finish Ver.)";Mobile Suit Gundam ZZ;¥2,500;2000 September;Limited edition metallic color variant of HGUC-011., ;HGUC
N/A;AMX-004 Qubeley Mk-II (Ple Two Custom) (Extra Finish Ver.);Mobile Suit Gundam ZZ;¥2,500;2000 September;Limited edition metallic color variant of HGUC-011., ;HGUC
OperationV.jpg;Gundam Operation V;Mobile Suit Gundam;¥2,600;2001 May;Triple pack containing color variants of HGUC-021, HGUC-001, and HGUC-007. Includes additional marking sheet., ;HGUC
N/A;RX-78-2 “Gundam”;Mobile Suit Gundam;N/A;2001;"US and UK release of HGUC-021 without the Hyper Bazooka and Core Fighter (the latter of which is no longer present on the box art). Advertised as a ""Skill Level 3"" model kit., ";HGUC
N/A ;RX-178 Gundam Mk-II (A.E.U.G.) Theatrical Release Extra Finish Ver.;Mobile Suit Zeta Gundam;¥2,000;2005 May;Limited edition metallic color variant of HGUC-035 (without G-Defenser) to promote the ''Zeta Gundam'' Movie Trilogy., ;HGUC
N/A;RMS-108 Marasai (Theatrical Release Extra Finish Ver.);Mobile Suit Zeta Gundam;¥2,000;2005 May;Limited edition metallic color variant of HGUC-052 to promote the ''Zeta Gundam'' Movie Trilogy., ;HGUC
N/A;MSZ-006 Zeta Gundam (Theatrical Release Extra Finish Ver.);Mobile Suit Zeta Gundam;¥3,200;2005 October;Limited edition metallic color variant of HGUC-041 to promote the ''Zeta Gundam'' Movie Trilogy., ;HGUC
N/A;AMX-004 Qubeley (Theatrical Release Extra Pearl Ver.);Mobile Suit Zeta Gundam;¥3,000;2006 March;Limited edition pearl color variant of HGUC-041 to promote the ''Zeta Gundam'' Movie Trilogy., ;HGUC
TripleDom.jpg;Triple Dom Jet Stream Attack;Mobile Suit Gundam;¥4,000;2006 January;"Triple pack containing color variants of three units of HGUC-059. Includes ""Ortega Hammer"" hands, adjustable clear display base, effect parts, and additional marking sheet., ";HGUC
GryphiosWar.jpg;Zeta Gundam Gryphios War;Mobile Suit Zeta Gundam;¥4,200;2006 March;Triple pack containing color variants of HGUC-041, HGUC-005 (not gold plated), and HGUC-035 (without G-Defenser). Includes clear pink beam saber blades for HGUC-035 and additional marking sheet., ;HGUC
N/A;"RX-77-2 ""Guncannon"" (Gunpla DVD Catalog Ver.)";Mobile Suit Gundam;¥800;2006 November;Limited edition repackage with free Gunpla DVD catalog., ;HGUC
N/A;RX-75-4 Guntank (Gunpla DVD Catalog Ver.);Mobile Suit Gundam;¥800;2006 November;Limited edition repackage with free Gunpla DVD catalog., ;HGUC
N/A;MS-07B Gouf (Gunpla DVD Catalog Ver.);Mobile Suit Gundam;¥800;2006 November;Limited edition repackage with free Gunpla DVD catalog., ;HGUC
N/A;MSM-07S Z'Gok Commander Type (Char Aznable Custom) (Gunpla DVD Catalog Ver.);Mobile Suit Gundam;¥700;2006 November;Limited edition repackage with free Gunpla DVD catalog., ;HGUC
N/A;RGM-79 GM (Gunpla DVD Catalog Ver.);Mobile Suit Gundam;¥700;2006 November;Limited edition repackage with free Gunpla DVD catalog., ;HGUC
N/A;RX-78-2 Gundam (Gunpla DVD Catalog Ver.);Mobile Suit Gundam;¥1,000;2006 November;Limited edition repackage with free Gunpla DVD catalog., ;HGUC
N/A;MS-06S Zaku II Commander Type (Char Aznable Custom) (Gunpla DVD Catalog Ver.);Mobile Suit Gundam;¥1,000;2006 November;Limited edition repackage with free Gunpla DVD catalog., ;HGUC
N/A;MS-09/MS-09R Dom/Rick Dom (Gunpla DVD Catalog Ver.);Mobile Suit Gundam;¥1,700;2006 November;Limited edition repackage with free Gunpla DVD catalog., ;HGUC
OperationCaptureofJaburo.jpg;Operation Capture of Jaburo;Mobile Suit Gundam;¥3,000;2007 July;Triple pack containing color variants of HGUC-019, HGUC-008, and HGUC-078. Includes additional marking sheet., ;HGUC
GundamG3VsCharRickDom.jpg;RX-78-3 Gundam + MS-09RS Rick-Dom;Mobile Suit Gundam (Novel);¥2,500;2008 February;Twin pack containing color variants of HGUC-021 and HGUC-059. Includes additional marking sheet., ;HGUC
Gunpla_HGUC_nuGundam-MetallicCoating_box.jpg;RX-93 ν Gundam Metallic Coating Ver.;Mobile Suit Gundam: Char's Counterattack;¥5,000;2010 January;Limited edition metallic color variant of HGUC-086. Released to promote the Blu-ray release of ''Char's Counterattack''., ;HGUC
Gunpla_HGUC_Sazabi-MetallicCoating_box.jpg;MSN-04 Sazabi Metallic Coating Ver.;Mobile Suit Gundam: Char's Counterattack;¥5,500;2010 January;Limited edition metallic color variant of HGUC-088. Released to promote the Blu-ray release of ''Char's Counterattack''., ;HGUC
GunplaStarterSet.jpg;Gunpla Starter Set: RX-78-2 Gundam vs. MS-06F Zaku II;Mobile Suit Gundam;¥2,000;2010 July;Twin pack containing anime-accurate color variants of HGUC-021 and HGUC-040. Includes ''Gunpla How To Guide'' booklet for beginners., ;HGUC
GundamGP01LinkinPark.jpg;"RX-78GP01Fb Gundam GP01Fb ""Linkin Park Edition""";Mobile Suit Gundam: Extreme Vs.;¥5,500;2010 November;Color variant of HGUC-018. Includes additional sticker sheet. Sold exclusively with limited edition release of Linkin Park's album ''A Thousand Suns'' to commemorate the 40th anniversary of Warner Music Japan., ;HGUC
Hguc unicorn titanium finish.jpg;RX-0 Unicorn Gundam (Destroy Mode) Titanium Finish;Mobile Suit Gundam Unicorn;¥4,200;2011 March;Limited edition metallic color variant of HGUC-100., ;HGUC
Hguc-sinanju-titanium.jpg;MSN-06S Sinanju Titanium Finish;Mobile Suit Gundam Unicorn;¥5,200;2011 March;Limited edition metallic color variant of HGUC-116., ;HGUC
HG Gundam & Zaku II Gundam Breaker Ver.jpg;Gundam & Zaku II Set (Gundam Breaker Original Color Ver.);Gundam Breaker;¥28,076;2013 October;Color variants of HGUC-021 (in faded colors) and HGUC-040 (in Gundam colors). Bundled with ''Gundam Breaker'' game and limited edition PSVita., ;HGUC
RX-80PRMetallic.jpg;RX-80PR Pale Rider [Limited Metallic Ver.];Mobile Suit Gundam Side Story: Missing Link;¥14,893;2014 May;Original release. Bundled with the limited release of the ''Missing Link'' video game. Features metallic finish., ;HGUC
HGCE Destiny Gundam (Heine Westenfluss Custom).jpg;ZGMF-X42S-REVOLUTION Destiny Gundam (Heine Westenfluss Custom);Mobile Suit Gundam SEED Destiny;¥2,200;2019 July;Limited edition color variant of HGCE-224., ;HGUC
HGAC Gundam Sandrock & Gundam Breaker Mobile Product Code Set.jpg;XXXG-01SR Gundam Sandrock & Gundam Breaker Mobile Product Code Set;Mobile Suit Gundam Wing;¥1,500;2019 September;First-run release with product code for mobile game., ;HGUC
HG RX-78-2 Gundam (Tokyo 2020 Olympic Emblem).jpg;RX-78-2 Gundam (Tokyo 2020 Olympic Emblem);Mobile Suit Gundam;¥1,200;2020 June;Special color variant of HGUC-191. Includes display base. Released as part of ''Tokyo 2020 Official Licensed Product''., ;HGUC
HG RX-78-2 Gundam (Tokyo 2020 Paralympic Emblem).jpg;RX-78-2 Gundam (Tokyo 2020 Paralympic Emblem);Mobile Suit Gundam;¥1,200;2020 June;Special color variant of HGUC-191. Includes display base. Released as part of ''Tokyo 2020 Official Licensed Product''., ;HGUC
HG Extreme Gundam & Eclipse-F Parts (EXVS. 10th ANNIVERSARY COLOR Ver.).jpg;Extreme Gundam & Extreme Gundam Type Leos Eclipse-F Parts (EXVS. 10th ANNIVERSARY COLOR Ver.);Mobile Suit Gundam Extreme Vs. Maxi Boost ON;N/A;2020 July;Color variant of HG-121 with Eclipse-F Parts. Bundled with PS4 game Mobile Suit Gundam Extreme VS Maxi Boost ON Collector Edition., ;HGUC
HGUC Xi Gundam VS Penelope Funnel Missile Effect Set.jpg;RX-105 Xi Gundam VS RX-104FF Penelope Funnel Missile Effect Set;Mobile Suit Gundam Hathaway;¥15,800;2021 April;Special release twin pack of HGUC-229 and HGUC-237 with effect parts., ;HGUC
HGUC RX-78-2 Gudam Ver Alexandros.jpg;RX-78-2 Gundam Ver. [Alexandros];Mobile Suit Gundam;¥5,000;2021 May;"Limited edition color variant of HGUC-191, bundled in a special release of [Alexandros]'s ""Senko"" CD single., ";HGUC
N/A;MSZ-006 Zeta Gundam Ver. Hiroko Moriguchi;Mobile Suit Zeta Gundam;¥8,800;2022 March;Limited edition color variant of HGUC-203, bundled in a special release of Hiroko Moriguchi's album ''Gundam Song Covers 3''. Includes additional marking sheet., ;HGUC
N/A;MS-09 Dom;Mobile Suit Gundam;N/A;2015 July;Parts and color variant of HGBF-039 with plate runners labeled HG Dom, newly molded version of HGUC-059 with better articulation and improved proportions., ;HGUC
N/A;RX-78-2 Gundam Ver. Hiroko Moriguchi;Mobile Suit Gundam;N/A;2021 October;"Proposed color variant of HGUC-191 as part of the ""Moriguchi Gunpla Grand Voting"" campaign.";HGUC
N/A;F91 Gundam F91 Ver. Hiroko Moriguchi;Mobile Suit Gundam F91;N/A;2021 October;"Proposed color variant of HGUC-167 as part of the ""Moriguchi Gunpla Grand Voting"" campaign., ";HGUC
Gunpla_HGUC_RGM79-GundamTheRide_box.jpg;RGM-79 GM Gundam The Ride: A Baoa Qu;Gundam the Ride: A Baoa Qu;¥1,890;2001;Fuji-Q Highland Amusement Park exclusive twin pack containing color variants of two units of HGUC-020, plus a Launch unit that resembles the ride simulator., ;HGUC
Gunpla_HGUC_G3Gundam-Zeong_box.jpg;"""G-3 Gundam"" & ""Zeong""";Mobile Suit Variations;¥3,000;2002;Gundam World in C3 2002 exclusive twin pack containing color variants of HGUC-021 and HGUC-022., ;HGUC
N/A;RX-78-2 Gundam Red Gundam ver.;Mobile Suit Gundam Gihren's Greed;N/A;2003;Comic BonBon Gundam Musashi lucky draw prize. Color variant of HGUC-021 in RX-78/C.A. Casval's Gundam colors. Limited to 10,000 winners., ;HGUC
Gunpla_HGUC_Zeong_BandaiMuseum_box.jpg;"MSN-02 ""Zeong"" Bandai Museum Limited Edition";Mobile Suit Gundam;¥2,000;2004 April;Bandai Museum exclusive color variant of HGUC-022 in Char Aznable colors., ;HGUC
Gunpla_HGUC_HyakuShiki_BandaiMuseum_box.jpg;"MSN-00100 ""Hyaku-Shiki"" Bandai Museum Limited Edition";Mobile Suit Zeta Gundam;¥1,800;2004 April;Bandai Museum exclusive red metallic plated variant of HGUC-005., ;HGUC
ZakuII-Igloo.jpg;MS-06 “Zaku II” MS IGLOO Ver.;Mobile Suit Gundam MS IGLOO: The Hidden One Year War;¥1,400;2004 June;Bandai Museum exclusive color variant of HGUC-040., ;HGUC
ZakuII-Semovente.jpg;MS-06 “Zaku II” (Semovente Corps. Ver.);Mobile Suit Gundam MS IGLOO: The Hidden One Year War;¥1,800;2004 July;Bandai Museum exclusive color variant of HGUC-040 with parts from HGUC-034., ;HGUC
ZGundamMetallicSet.jpg;Mobile Suit Zeta Gundam Metallic Version Set;Mobile Suit Zeta Gundam;¥11,000;2004 August;Chara Hobby 2004 exclusive boxed set containing metallic color variants of HGUC-055, HGUC-030, HGUC-033, and HGUC-041., ;HGUC
HG Gundam Mk-II A.E.U.G. colors Theatrical Clear Color Ver.jpg;RX-178 Gundam Mk-II (A.E.U.G. colors) Theatrical Clear Color Ver.;Mobile Suit Zeta Gundam;¥1,000;2005 May;Theater exclusive clear color variant of HGUC-030. Released for the theatrical premiere of ''Mobile Suit Zeta Gundam I: Heirs to the Stars''., ;HGUC
HG Hyaku-Shiki Theatrical Clear Color Ver.jpg;MSN-00100 Hyaku Shiki Theatrical Clear Color Ver.;Mobile Suit Zeta Gundam;¥1,000;2005 October;Theater exclusive clear color variant of HGUC-005. Released for the theatrical premiere of ''Mobile Suit Zeta Gundam II: Lovers''., ;HGUC
HG Zeta Gundam Theatrical Clear Color Ver.jpg;MSZ-006 Zeta Gundam Theatrical Clear Color Ver.;Mobile Suit Zeta Gundam;¥1,700;2006 March;Theater exclusive clear color variant of HGUC-041. Released for the theatrical premiere of ''Mobile Suit Zeta Gundam III: Love Is the Pulse of the Stars''., ;HGUC
Gunpla_HGUC_CharsRickDom_C3Hobby2007_box.jpg;MS-09R Char's Rick Dom (Coating Ver.);Mobile Suit Gundam (Novel);N/A;2007 August;Chara Hobby 2007 exclusive metallic color variant of HGUC-059., ;HGUC
HG RX-78 Gundam Ecopla Ver.jpg;"RX-78-2 ""Gundam"" ECOpla";Mobile Suit Gundam;¥1,000;2008 May;Bandai Hobby Center exclusive color variant of HGUC-021, molded in black plastic recycled from materials discarded during the production of regular Gunpla. Includes additional marking sheet., ;HGUC
HG Guncannon Ecopla Ver.jpg;"RX-77-2 ""Guncannon"" ECOpla";Mobile Suit Gundam;¥800;2009 May;Bandai Hobby Center exclusive color variant of HGUC-001, molded in black plastic recycled from materials discarded during the production of regular Gunpla. Includes additional marking sheet., ;HGUC
HG Guntank Ecopla.JPG;"RX-75 ""Guntank"" ECOpla";Mobile Suit Gundam;¥800;2009 May;Bandai Hobby Center exclusive color variant of HGUC-007, molded in black plastic recycled from materials discarded during the production of regular Gunpla. Includes additional marking sheet., ;HGUC
HG GM Ecopla Ver.jpg;RGM-79 “GM” ECOpla;Mobile Suit Gundam;¥700;2009 May;Bandai Hobby Center exclusive color variant of HGUC-020, molded in black plastic recycled from materials discarded during the production of regular Gunpla. Includes additional marking sheet., ;HGUC
HG Zaku II Ecopla.jpg;"MS-06 ""Zaku II"" ECOpla";Mobile Suit Gundam;¥1,000;2009 May;Bandai Hobby Center exclusive color variant of HGUC-032, molded in black plastic recycled from materials discarded during the production of regular Gunpla. Includes additional marking sheet., ;HGUC
HG Gouf Ecopla.jpg;"MS-07B ""Gouf"" ECOpla";Mobile Suit Gundam;¥800;2009 May;Bandai Hobby Center exclusive color variant of HGUC-009, molded in black plastic recycled from materials discarded during the production of regular Gunpla. Includes additional marking sheet., ;HGUC
HG Unicorn Gundam Head Display Base.jpg;RX-0 Unicorn Gundam Head Display Base;Mobile Suit Gundam Unicorn;¥1,229;2009 November;''Dengeki Hobby'' January 2010 issue exclusive Furoku Grade (FG) 1/48 scale transformable head display base for HGUC-100/101., ;HGUC
HG Gundam Mk-II Titans Ecopla Ver.jpg;RX-178 “Gundam Mk-II” ECOpla;Mobile Suit Zeta Gundam;¥1,000;2010 May;Bandai Hobby Center exclusive color variant of HGUC-030, molded in black plastic recycled from materials discarded during the production of regular Gunpla., ;HGUC
HG ZZ Gundam Clear Color.jpg;MSZ-010 ZZ Gundam Clear Color Ver.;Mobile Suit Gundam ZZ;¥2,300;2010 August;Gundam Super Expo Tokyo 2010 exclusive clear color variant of HGUC-111., ;HGUC
HG Unicorn Gundam Destroy Mode + Head Display Base.jpg;RX-0 Unicorn Gundam (Destroy Mode) + 1/48 Head Display Base;Mobile Suit Gundam Unicorn;N/A;2010 August;Bandai Asia exclusive re-release of HGUC-100 with 1/48 scale transformable RX-0 Unicorn Gundam head display base originally offered with the January 2010 issue of ''Dengeki Hobby''., ;HGUC
HG Unicorn Gundam Unicorn Mode + Head Display Base.jpg;RX-0 Unicorn Gundam (Unicorn Mode) + 1/48 Head Display Base;Mobile Suit Gundam Unicorn;N/A;2010 August;Bandai Asia exclusive re-release of HGUC-101 with 1/48 scale transformable RX-0 Unicorn Gundam head display base originally offered with the January 2010 issue of ''Dengeki Hobby''., ;HGUC
HG Zeta Gundam Clear Color Ver.jpg;MSZ-006 “Zeta Gundam” Clear Color Ver.;Mobile Suit Zeta Gundam;¥1,600;2010 September;Gunpla Expo Japan Tour exclusive clear color variant of HGUC-041., ;HGUC
HG Unicorn Gundam Destroy Mode Theatrical NT-D Pearl Clear Ver.jpg;RX-0 Unicorn Gundam (Destroy Mode) Theatrical NT-D Pearl Clear Ver.;Mobile Suit Gundam Unicorn;¥1,900;2010 October;Theater exclusive clear/pearl color variant of HGUC-100. Released for the theatrical premiere of The Second Coming of Char, episode 2 of the OVA. ;HGUC
HG Sinanju Head Display Base.jpg;MSN-06S Sinanju Head Display Base;Mobile Suit Gundam Unicorn;¥905;2010 November;''Gundam Ace'' January 2010 issue exclusive 1/48 scale head display base for HGUC-116., ;HGUC
488a179360cc894f870cd53c9a6f6e0b 210x129.jpg;RX-0 Unicorn Gundam (D-Mode) ANA Airline Ver.;Mobile Suit Gundam Unicorn;¥1,944;2011 March;ANA Airline exclusive color variant of HGUC-100., ;HGUC
Gunpla_HGUC_GMKai_Ball_box.jpg;RGM-79C GM Type C & RB-79C Ball Type C;Mobile Suit Gundam 0083: Stardust Memory;¥2,000;2011 December;P-Bandai exclusive twin pack containing color variant of HGUC-113, and parts and color variant of HGUC-114., ;HGUC
GMII-Desert.jpg;RMS-179 GM II (Desert Color Ver.);Mobile Suit Gundam Unicorn;¥1,400;2012 January;P-Bandai exclusive color variant of HGUC-131., ;HGUC
Gunpla_1-144_HGUC_msn-06s-RedCometSparkle_p01_front.jpg;MSN-06S Sinanju Red Comet Sparkle Ver.;Mobile Suit Gundam Unicorn;¥2,800;2012 January;P-Bandai exclusive clear color variant of HGUC-116. Released for the theatrical premiere of At the Bottom of the Gravity Well, episode 4 of the OVA. ;HGUC
Gunpla_HGUC_Kshatriya-PearlClearBinder_box.jpg;NZ-666 Kshatriya Pearl Clear Binder Ver.;Mobile Suit Gundam Unicorn;¥4,500;2012 January;P-Bandai exclusive clear color variant of HGUC-099. Released for the theatrical premiere of At the Bottom of the Gravity Well, episode 4 of the OVA. ;HGUC
PBandai-Ball.jpg;RB-79K Ball & RB-79 Ball;Mobile Suit Gundam: The 08th MS Team / Mobile Suit Gundam MS IGLOO: The Hidden One Year War;¥1,500;2012 February;P-Bandai exclusive twin pack containing parts and color variants of HGUC-114., ;HGUC
DraC-Unicorn.jpg;MS-21C Dra-C (Unicorn Ver.);Mobile Suit Gundam Unicorn;¥2,000;2012 February;"P-Bandai exclusive color variant of HGUC-133 with new ""Sleeves"" parts., ";HGUC
HGUC-NuGundam-GFT.jpg;RX-93 ν Gundam Ver.GFT;Mobile Suit Gundam: Char's Counterattack;¥2,571;2012 April;Gundam Front Tokyo exclusive color variant of HGUC-086 with an extra marking sheet., ;HGUC
HG Extreme Gundam Type Leos.jpg;Extreme Gundam (type-LEOS);Mobile Suit Gundam: Extreme Vs.;¥1,600;2012 May;P-Bandai exclusive color variant of HGUC-121., ;HGUC
Gunpla_HGUC_Juaggu_MSV_box.jpg;MSM-04G Juaggu (Ver.MSV);Mobile Suit Variations;¥1,700;2012 May;P-Bandai exclusive parts and color variant of HGUC-139. Includes additional marking sheet., ;HGUC
Gunpla_HGUC_GDfenz-FlyArmor_box.jpg;FXA-05D G-Defenser & Flyingarmor;Mobile Suit Zeta Gundam;¥1,800;2012 May;P-Bandai exclusive re-release of accessories originally from HGUC-035 and HGUC-053 with additional marking sheet. For use with HGUC-193/HGUC-194. Includes adapter to fit G-Defenser into the backpack of RG-07/RG-08., ;HGUC
HG Jesta Tristar Clear Ver.jpg;RGM-96X Jesta Tristar Clear Ver.;Mobile Suit Gundam Unicorn;¥1,600;2012 June;P-Bandai exclusive clear color variant of HGUC-130. Released for the theatrical premiere of Black Unicorn, episode 5 of the OVA. ;HGUC
HG Delta Plus Inner Space Clear Ver.jpg;MSN-001A1 Delta Plus Inner Space Clear Ver.;Mobile Suit Gundam Unicorn;¥2,400;2012 June;P-Bandai exclusive clear color variant of HGUC-115. Released for the theatrical premiere of Black Unicorn, episode 5 of the OVA. ;HGUC
HG GM III Desert Color Ver.jpg;RGM-86R GM III (Desert Color Ver.);Mobile Suit Gundam Unicorn;¥1,500;2012 July;P-Bandai exclusive parts and color variant of HGUC-126., ;HGUC
