Image; Model; Series; Yen Price; Release Date; Notes;Type
Hguc-s-gundam.jpg;MSA-0011 “S Gundam”;Gundam Sentinel;¥1,800;2001 August;Not transformable unlike its MG counterpart. Includes non-transformable FXA-08GB G-Core. G-Attacker unit sold separately as EX-05. ;HGUC
024.jpg;RMS-141 “Xekueins”;Gundam Sentinel;¥1,600;2001 October;N/A;HGUC
RX-78GP03S Gundam G0P3S.jpg;RX-78GP03S “Gundam GP03S”;Mobile Suit Gundam 0083: Stardust Memory;¥1,600;2001 December;Features deployable folding arms. Includes non-transformable FF-XII-Sp Core Fighter II-Sp. ;HGUC
026.jpg;MS-14Fs “Gelgoog Marine” (Cima Garahau custom);Mobile Suit Gundam 0083: Stardust Memory;¥1,500;2002 January;Parts and color variant of HGUC-016., ;HGUC
027.jpg;MS-09F “Dom Tropen” (Kimberlite Forces colors);Mobile Suit Gundam 0083: Stardust Memory;¥1,600;2002 February;Parts and color variant of HGUC-017. Includes open left hand, rear skirt thruster, and additional weapons and ammo., ;HGUC
Hguc-orchis.jpg;RX-78GP03 “Gundam GP03 ‘Dendrobium’”;Mobile Suit Gundam 0083: Stardust Memory;¥28,000;2002 March;Enhanced version of HGUC-025. It is the longest at “about 1m*0.5m*0.6m” and most expensive non-bundled HGUC kit., ;HGUC
Hguc-ex-s.jpg;MSA-0011[Ext] “Ex-S Gundam”;Gundam Sentinel;¥2,500;2002 April;Parts variant of HGUC-023. Not transformable unlike its MG counterpart. ;HGUC
Hguc-rx-178t.jpg;"RX-178 “Gundam Mk-II"" (Titans colors)";Mobile Suit Zeta Gundam;¥1,000;2002 May;First kit to have a right hand and beam saber molded as a single piece. Includes marking sheet for units 01-03. Later reissues of this kit have HGUC-053's modified foot parts., ;HGUC
Hguc-amx-107-mp.jpg;"AMX-107 “Bawoo"" (Mass Production colors)";Mobile Suit Gundam ZZ;¥1,200;2002 June;Color variant of HGUC-015. Fully transformable kit., ;HGUC
Hguc-rms-099-2.jpg;RMS-099 “Rick Dias” (Quattro Bajeena custom);Mobile Suit Zeta Gundam;¥1,200;2002 August;Color variant of HGUC-010., ;HGUC
Hguc-ms-06fs.jpg;MS-06Fs “Zaku II Type FS” (Garma Zabi custom);Mobile Suit Variations;¥1,000;2002 September;Color variant of HGUC-032. Includes Magella Top Cannon, larger Heat Hawk, and a different head piece with vulcan guns. First HGUC mobile suit in MSV line. ;HGUC
Hguc-super-gundam.jpg;FXA-05D/RX-178 “Super Gundam”;Mobile Suit Zeta Gundam;¥2,000;2002 November;Color variant of HGUC-030 with fully transformable FXA-05D G-Defenser. Also the first HGUC kit to introduce Mobile Armors with similar size to the Mobile Suits. Later reissues of this kit have HGUC-053's modified foot parts., ;HGUC
Hguc-pmx-003.jpg;PMX-003 The-O;Mobile Suit Zeta Gundam;¥2,400;2002 December;N/A, ;HGUC
HGUC-MSM03C 101.jpg;MSM-03C “Hygogg”;Mobile Suit Gundam 0080: War in the Pocket;¥1,200;2003 June;N/A;HGUC
Hguc-rgm-79d.jpg;RGM-79D “GM Cold Districts Type”;Mobile Suit Gundam 0080: War in the Pocket;¥800;2003 July;Last HGUC kit to have a non-functional beam saber handle., ;HGUC
MSM-07E Z'Gok Experiment - Boxart0.jpg;MSM-07E “Z'Gok Experiment”;Mobile Suit Gundam 0080: War in the Pocket;¥1,200;2003 August;N/A;HGUC
Zaku 2.png;MS-06F “Zaku II”;Mobile Suit Gundam;¥1,000;2003 September;Color variant of HGUC-032. Includes two leg-mounted missile pods., ;HGUC
Hguc-msz-006.jpg;MSZ-006 “Zeta Gundam”;Mobile Suit Zeta Gundam;¥1,600;2003 October;First HGUC kit to transform via parts-swapping. Includes grenade launchers and Hyper Mega Launcher with landing gear. Also the last HGUC kit to have a right hand and beam saber molded as a single piece., ;HGUC
Hguc-orx-005.jpg;ORX-005 “Gaplant”;Mobile Suit Zeta Gundam;¥2,200;2003 November;Fully transformable kit. Includes booster unit and display base., ;HGUC
Hguc-ms-09rii-sp.jpg;MS-09R2 “Rick Dom II”;Mobile Suit Gundam 0080: War in the Pocket;¥1,500;2004 January;N/A;HGUC
Hguc-rx-77d.jpg;RX-77D “Guncannon Mass Production Type”;Mobile Suit Gundam 0080: War in the Pocket;¥1,000;2004 February;N/A;HGUC
Gelgoog-J HGUC 1-144 01.jpg;MS-14Jg “Gelgoog Jäger”;Mobile Suit Gundam 0080: War in the Pocket;¥1,200;2004 April;Released to coincide with the 15th anniversary of ''Mobile Suit Gundam 0080''., ;HGUC
Hguc-rgm-79s.jpg;RGM-79G “GM Command”;Mobile Suit Gundam 0080: War in the Pocket;¥800;2004 May;Uses a modified version of the A plate runner of HGUC-038., ;HGUC
Hguc-rx-78nt-1.jpg;RX-78NT-1 “Gundam NT1”;Mobile Suit Gundam 0080: War in the Pocket;¥1,500;2004 May;Includes removable Chobham Armor parts. The last HGUC Gundam kit to have a single-piece beam saber., ;HGUC
HGUC - MRX-009 Psycho Gundam - Boxart.jpg;MRX-009 “Psycho Gundam”;Mobile Suit Zeta Gundam;¥5,000;2004 August;Fully transformable kit. Largest stand-alone HGUC kit to date., ;HGUC
Hguc-g-armor.jpg;“G-Armor” (RX-78-2 “Gundam” + “G-Fighter”);Mobile Suit Gundam;¥2,800;2004 October;Enhanced verson of HGUC-021. The Gundam's feet are modified to allow docking with the G-Fighter. Backpack has also been modified to hold the beam sabers more firmly. Includes display base., ;HGUC
Hguc-rgm78gs.jpg;RGM-79G “GM Command Space”;Mobile Suit Gundam 0080: War in the Pocket;¥800;2004 October;Parts and color variant of HGUC-046., ;HGUC
Marasai.jpg;RMS-108 “Marasai”;Mobile Suit Zeta Gundam;¥1,400;2005 January;First kit to include a peg in the right weapon hand for extra security., ;HGUC
